CÛdigo ”rg„o Superior	Nome ”rg„o Superior	CÛdigo ”rg„o Subordinado	Nome ”rg„o Subordinado	CÛdigo Unidade Gestora	Nome Unidade Gestora	Categoria EconÙmica	Origem	EspÈcie	Rubrica	AlÌnea	SubalÌnea	Valor Previsto	Valor LanÁado	Valor Realizado	Percentual Realizado	ExercÌcio
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	MULTAS E JUROS PREVISTOS EM CONTRATOS	MULTAS E JUROS PREVISTOS EM CONTRATOS	0	0	16322,72		2015
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	INDENIZACOES	OUTRAS INDENIZACOES	OUTRAS INDENIZACOES	0	0	325,47		2015
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	RESTITUICOES	RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES	RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES	0	0	106538,82		2015
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	REC.HONOR¡RIOS ADVOGADOS/‘NUS DE SUCUB NCIA	RECEITA DE HONOR¡RIOS DE ADVOGADOS	2100000	0	876786,02	41,75	2015
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	REC.HONOR¡RIOS ADVOGADOS/‘NUS DE SUCUB NCIA	RECEITA DE ‘NUS DE SUCUMB NCIA	0	0	2943309,34		2015
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES INTRA-ORCAMENTARIAS	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	RECEITAS ONUS SUCUMBENCIA DE ACOES JUDICIAIS	RECEITA DE HONORARIOS DE ADVOGADOS	0	0	5400,15		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22212	CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO	225001	CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	OUTRAS RECEITAS	OUTRAS RECEITAS	0	0	3,64		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22212	CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO	225001	CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS E JUROS DE MORA-OUTRAS RECEITAS	OUTRAS MULTAS E JUROS DE MORA	OUTRAS MULTAS E JUROS DE MORA	0	0	0		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22212	CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO	225001	CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO	RECEITAS CORRENTES	RECEITAS CORRENTES A CLASSIFICAR	RECEITAS CORRENTES A CLASSIFICAR	RECEITAS CORRENTES A CLASSIFICAR	RECEITAS CORRENTES A CLASSIFICAR	RECEITAS CORRENTES A CLASSIFICAR	0	0	205584178,9		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	MULTAS E JUROS PREVISTOS EM CONTRATOS	MULTAS E JUROS PREVISTOS EM CONTRATOS	0	0	8922,16		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	OUTRAS MULTAS	OUTRAS MULTAS	28107306	0	29437232,46	104,73	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS E JUROS DE MORA-OUTRAS RECEITAS	OUTRAS MULTAS E JUROS DE MORA	OUTRAS MULTAS E JUROS DE MORA	10381905	0	7699754,92	74,16	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS E JUROS DE MORA DAS CONTRIBUICOES	MUL.JUR.MORA CONT. S/ APOSTA COMPET. HIPICAS	MUL.JUR.MORA CONT. S/ APOSTA COMPET. HIPICAS	0	0	123,5		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	MUL.APLIC.PELOS TRIBUNAIS DE CONTAS	MUL.APLIC.PELOS TRIBUNAIS DE CONTAS	0	0	1944,03		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	INDENIZACOES	OUTRAS INDENIZACOES	OUTRAS INDENIZACOES	0	0	1973431,72		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	RESTITUICOES	RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES	RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES	0	0	30562015,37		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	RESTITUICOES	RESTITUICOES DE CONVENIOS	RESTITUICOES DE CONVENIOS - PRIMARIAS	0	0	14895000,72		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	MULTAS S/ FISCALIZACAO REDE DE PROD.ORGANICA	MULTAS S/ FISCALIZACAO REDE DE PROD.ORGANICA	10000	0	35000	350	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	RECEITA DECORRENTE ALIENACAO BENS APREENDIDOS	REC. DE LEILOES DE MERCADORIAS APREENDIDAS	0	0	462300		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	RESTITUICOES	OUTRAS RESTITUICOES	OUTRAS RESTITUICOES	0	0	333,9		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	OUTRAS RECEITAS	OUTRAS RECEITAS	0	0	171762,58		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS DE CAPITAL	ALIENACAO DE BENS	ALIENACAO DE BENS MOVEIS	ALIENACAO DE VEICULOS	ALIENACAO DE VEICULOS	ALIENACAO DE VEICULOS	100000	0	216300	216,3	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITA DA DIVIDA ATIVA	RECEITA DA DIVIDA ATIVA NAO TRIBUTARIA	REC.DIV.AT. CONTR. S/ APOSTA EM COMP. HIPICAS	REC.DIV.AT. CONTR. S/ APOSTA EM COMP. HIPICAS	3294061	0	0	0	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITA DA DIVIDA ATIVA	RECEITA DA DIVIDA ATIVA NAO TRIBUTARIA	REC. DA DIV. ATIVA NAO-TRIB. DE OUTRAS REC.	PARCELAMENTOS - DIV ATIV NAO TRIB OUTRAS REC	1974975	0	0	0	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS JUR.MORA DIV.ATIVA DE OUTRAS RECEITAS	OUTRAS MULT. E J.MORA  DIV.AT. DE OUTRAS REC.	PARCEL-OUTRAS MULTA/J DE MORA DIV AT OUT REC	2238080	0	0	0	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	SERVICOS ADMINISTRATIVOS	SERVICOS ADMINISTRATIVOS	32400	0	8911,95	27,5	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	SERVICOS DE ESTUDOS E PESQUISAS	SERVICOS DE ESTUDOS E PESQUISAS	43000	0	70283	163,44	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	SERVICOS CONSULT.ASSIST.TEC. ANALISE PROJETOS	SERV.CONS,ASS.TEC.E AN.PROJ-APLICA«’ES LIVRES	20280	0	10037,9	49,49	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	SERVICOS AGROPECUARIOS	SERVICOS AGROPECUARIOS	10513138	0	11740871,92	111,67	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS	TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS	0	0	150,07		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	TRANSFERENCIAS CORRENTES	TRANSFERENCIAS DE CONVENIOS	TRANSFERENCIAS CONVENIOS DA UNIAO E ENTIDADES	TRANSFERENCIAS CONVENIOS DA UNIAO E ENTIDADES	TRANSFERENCIAS CONVENIOS DA UNIAO E ENTIDADES	230000	0	873063	379,59	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	SERVICOS DE METEOROLOGIA	SERVICOS DE METEOROLOGIA	0	0	218,4		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	TRANSFERENCIAS CORRENTES	TRANSFERENCIAS DE CONVENIOS	TRANSF.DOS ESTADOS DF E SUAS ENTIDADES	TRANSF.DOS ESTADOS DF E SUAS ENTIDADES	TRANSF.DOS ESTADOS DF E SUAS ENTIDADES	2191075	0	0	0	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE CONTRIBUICOES	CONTRIB. DE INTERVEN«√O NO DOMINIO ECONOMICO	CONTRIB. DE INTERVEN«√O NO DOMINIO ECONOMICO	CONTRIBUICAO S/ APOSTAS EM COMPET. HIPICAS	CONTRIBUICAO S/ APOSTAS EM COMPET. HIPICAS	642458	0	618982,29	96,34	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE CONTRIBUICOES	CONTRIBUICOES SOCIAIS	CONTRIBUICOES SOCIAIS	CONTRIBUICOES RURAIS	ADICIONAL A CONTRIBUICAO PREVIDENCIARIA	9965557	0	196887085,7	1975,67	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA DE CONTRIBUICOES	CONTRIBUICOES SOCIAIS	CONTRIBUICOES SOCIAIS	CONTRIBUICOES RURAIS	CONTRIBUICAO INDUSTRIAL RURAL	10614413	0	49485068,47	466,2	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA TRIBUTARIA	TAXAS	TAXAS PELA PRESTACAO DE SERVICOS	TAXA DE CLASSIFICACAO DE PRODUTOS VEGETAIS	TAXA DE CLASSIFICACAO DE PRODUTOS VEGETAIS	9330088	0	6893477,75	73,88	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA PATRIMONIAL	RECEITAS IMOBILIARIAS	ALUGUEIS	ALUGUEIS	ALUGUEIS	0	0	3611,34		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA PATRIMONIAL	RECEITAS IMOBILIARIAS	TAXA DE OCUPACAO DE IMOVEIS	TAXA DE OCUPACAO DE OUTROS IMOVEIS	TAXA DE OCUPACAO DE OUTROS IMOVEIS	38148	0	231763,44	607,53	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES	RECEITA PATRIMONIAL	RECEITAS IMOBILIARIAS	TAXA DE OCUPACAO DE IMOVEIS	TAXA DE OCUPACAO DE TERRENOS DA UNIAO	TAXA DE OCUPACAO DE TERRENOS DA UNIAO	19956	0	21882,44	109,65	2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS DE CAPITAL	ALIENACAO DE BENS	ALIENACAO DE BENS MOVEIS	ALIENACAO DE ANIMAIS REPRODUTORES E MATRIZES	ALIENACAO DE ANIMAIS REPRODUTORES E MATRIZES	ALIENACAO DE ANIMAIS REPRODUTORES E MATRIZES	0	0	70820		2015
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	22101	MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO	130101	COORDENACAO-GERAL DE ORCAMENTO E FINANÁAS	RECEITAS CORRENTES INTRA-ORCAMENTARIAS	RECEITA INDUSTRIAL	RECEITAS DA INDUSTRIA DE TRANSFORMACAO	RECEITAS DA INDUSTRIA DE TRANSFORMACAO	RECEITA DA INDUSTRIA EDITORIAL E GRAFICA	RECEITA DA INDUSTRIA EDITORIAL E GRAFICA	0	0	88		2015
